City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
321,Oistins,BB,13.0667,-59.5333,80.69,83,40,14.97,scattered clouds
322,Kifri,IQ,34.6959,44.9661,100.4,14,0,4.94,clear sky
323,Tocopilla,CL,-22.092,-70.1979,56.08,56,0,6.73,clear sky
324,Raichur,IN,16.2,77.3667,83.19,61,100,18.92,overcast clouds
325,Muros,ES,42.7762,-9.0603,65.16,93,20,1.41,few clouds
326,Yerbogachen,RU,61.2767,108.0108,72.25,44,92,7.58,overcast clouds
327,Cesis,LV,57.3119,25.2746,53.73,87,27,6.71,scattered clouds
328,Nioro,GM,13.35,-15.75,78.22,88,86,5.61,overcast clouds
329,Zhigansk,RU,66.7697,123.3711,66.33,43,36,16.35,scattered clouds
330,Iqaluit,CA,63.7506,-68.5145,56.7,67,38,13.0,scattered clouds
331,Petrozavodsk,RU,61.7849,34.3469,61.39,64,66,8.84,broken clouds
332,Beidao,CN,34.5686,105.8933,67.62,84,100,2.77,overcast clouds
333,Hendaye,FR,43.3717,-1.7738,69.21,90,0,4.61,clear sky
334,Lalganj,IN,25.8667,85.1833,91.35,38,3,16.24,clear sky
335,Dudinka,RU,69.4058,86.1778,70.63,42,0,6.11,clear sky
336,Saint Anthony,US,45.0205,-93.218,75.63,83,0,6.91,clear sky
337,Carnduff,CA,49.1667,-101.8009,73.38,88,74,8.79,broken clouds
338,Hiriyur,IN,13.9456,76.6192,79.83,65,98,23.94,overcast clouds
339,Luanda,AO,-8.8368,13.2343,66.29,92,19,6.26,few clouds
340,Grand Gaube,MU,-20.0064,57.6608,74.37,68,75,8.99,broken clouds
341,Asau,RO,46.4333,26.4,67.28,76,45,2.39,scattered clouds
342,Hofn,IS,64.2539,-15.2082,49.89,92,100,9.71,overcast clouds
